Education_Level,Gender,Field_of_Study,Domestic_or_International,Work_Status,Education_Mode,Online_Courses_Last_Year,Online_Influence_Factors,Offline_Influence_Factors,Online_Effectiveness,Online_Challenges,Online_Student_Engagement,Online_Material_Satisfaction,Online_Collaboration,Offline_Benefits,Offline_Resources_Satisfaction,Offline_Classroom_Engagement,Offline_Motivation,Better_Grades_Mode,Job_Preparation_Mode
Undergraduate,Male,Business,Foreign (International) student,Not working,Offline (In-person),No,Convenience of location,Quality of education,3,Difficulty staying motivated,Sometimes,Neutral,No,"Better access to facilities (labs, libraries, etc.)",Satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Male,Business,Foreign (International) student,Not working,Online,Yes,Avoiding travel/commute time,Face-to-face interaction with instructors and peers,4,Technical difficulties,Sometimes,Satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Online,Online
Graduate,Female,Business,Domestic student,Part-time,Offline (In-person),Yes,Avoiding travel/commute time,Convenience of location,2,Difficulty staying motivated,Very often,Satisfied,No,Easier to focus,Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Male,Business,Foreign (International) student,Not working,Online,Yes,Avoiding travel/commute time,Quality of education,4,Technical difficulties,Very often,Satisfied,Yes,More engaging learning environment,Satisfied,Good,Agree,Online,Online
Undergraduate,Female,Business,Domestic student,Not working,Offline (In-person),Yes,Avoiding travel/commute time,Prefer in-person exams and assessments,2,Technical difficulties,Sometimes,Neutral,Yes,Better interaction with instructors,Satisfied,Good,Agree,Offline,Offline
Undergraduate,Female,Arts,Foreign (International) student,Part-time,Offline (In-person),Yes,Convenience of location,Flexibility in schedule,4,Difficulty staying motivated,Never,Unsatisfied,No,Easier to focus,Very satisfied,Excellent,Agree,Offline,Online
High School,Male,Information & Technology,Domestic student,Part-time,Online,Yes,Convenience of location,Cost,4,Difficulty staying motivated,Sometimes,Satisfied,No,Easier to focus,Satisfied,Good,Agree,Offline,Offline
High School,Prefer not to say,Arts,Domestic student,Part-time,Offline (In-person),No,Flexibility in schedule,Flexibility in schedule,2,Difficulty staying motivated,Sometimes,Neutral,Yes,Easier to focus,Satisfied,Good,Neutral,Offline,Online
Graduate,Male,Business,Foreign (International) student,Part-time,Offline (In-person),Yes,Interaction with peers/instructors,Cost,2,Lack of interaction with peers,Sometimes,Neutral,No,Easier to focus,Satisfied,Good,Agree,Offline,Offline
Undergraduate,Female,Medical,Domestic student,Not working,Offline (In-person),No,Convenience of location,Convenience of location,4,Difficulty staying motivated,Rarely,Unsatisfied,No,Easier to focus,Very satisfied,Excellent,Neutral,Offline,Offline
High School,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),No,Convenience of location,Convenience of location,2,Lack of interaction with peers,Sometimes,Satisfied,No,Easier to focus,Satisfied,Excellent,Agree,Offline,Offline
Undergraduate,Male,Economics,Foreign (International) student,Part-time,Offline (In-person),No,Convenience of location,Flexibility in schedule,3,Lack of interaction with peers,Sometimes,Satisfied,No,Easier to focus,Satisfied,Good,Strongly agree,Online,Online
Graduate,Female,Economics,Domestic student,Part-time,Offline (In-person),Yes,Convenience of location,Flexibility in schedule,3,Difficulty staying motivated,Never,Satisfied,No,More engaging learning environment,Neutral,Average,Strongly agree,Online,Online
High School,Female,Business,Foreign (International) student,Not working,Offline (In-person),Yes,Avoiding travel/commute time,Flexibility in schedule,3,Poor internet connection,Never,Satisfied,No,Easier to focus,Satisfied,Good,Agree,Offline,Offline
Graduate,Prefer not to say,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),Yes,Avoiding travel/commute time,Prefer in-person exams and assessments,3,Lack of interaction with peers,Sometimes,Satisfied,No,Better interaction with instructors,Satisfied,Excellent,Strongly agree,Online,Offline
Undergraduate,Female,Economics,Foreign (International) student,Part-time,Offline (In-person),Yes,Cost,Face-to-face interaction with instructors and peers,1,Difficulty staying motivated,Sometimes,Satisfied,No,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Online
Graduate,Female,Information & Technology,Domestic student,Part-time,Offline (In-person),Yes,Avoiding travel/commute time,Prefer in-person exams and assessments,2,Difficulty staying motivated,Never,Satisfied,Yes,Easier to focus,Very satisfied,Excellent,Strongly agree,Online,Online
High School,Male,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),Yes,Flexibility in schedule,Availability of courses,2,Poor internet connection,Rarely,Unsatisfied,No,Better interaction with instructors,Very satisfied,Excellent,Strongly agree,Offline,Offline
Undergraduate,Prefer not to say,Economics,Foreign (International) student,Not working,Offline (In-person),No,Convenience of location,Cost,4,Technical difficulties,Rarely,Unsatisfied,No,More structured schedule,Unsatisfied,Poor,Neutral,Offline,Offline
Graduate,Prefer not to say,Economics,Foreign (International) student,Not working,Online,Yes,Flexibility in schedule,Flexibility in schedule,3,Lack of interaction with peers,Sometimes,Neutral,Yes,More engaging learning environment,Satisfied,Good,Strongly agree,Online,Offline
Undergraduate,Female,Arts,Foreign (International) student,Part-time,Offline (In-person),No,Quality of education,Quality of education,3,Lack of interaction with peers,Sometimes,Satisfied,No,Easier to focus,Satisfied,Good,Neutral,Offline,Offline
Undergraduate,Prefer not to say,Arts,Foreign (International) student,Part-time,Online,Yes,Flexibility in schedule,Flexibility in schedule,2,Lack of interaction with peers,Sometimes,Satisfied,No,Easier to focus,Satisfied,Good,Agree,Online,Online
Undergraduate,Male,Arts,Foreign (International) student,Part-time,Online,Yes,Flexibility in schedule,Face-to-face interaction with instructors and peers,4,Technical difficulties,Sometimes,Satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Excellent,Agree,Online,Online
Undergraduate,Male,Business,Foreign (International) student,Part-time,Offline (In-person),No,Flexibility in schedule,Availability of courses,4,Difficulty staying motivated,Sometimes,Satisfied,No,More engaging learning environment,Neutral,Average,Agree,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Part-time,Offline (In-person),No,Convenience of location,Availability of courses,4,Technical difficulties,Sometimes,Satisfied,No,More structured schedule,Satisfied,Good,Neutral,Offline,Offline
Undergraduate,Male,Economics,Foreign (International) student,Not working,Offline (In-person),No,Cost,Quality of education,4,Lack of access to course materials,Sometimes,Satisfied,No,More engaging learning environment,Satisfied,Good,Neutral,Offline,Offline
Undergraduate,Male,Medical,Domestic student,Not working,Online,Yes,Flexibility in schedule,Quality of education,4,Technical difficulties,Sometimes,Very satisfied,Yes,Better interaction with instructors,Satisfied,Good,Strongly agree,Online,Online
Undergraduate,Male,Economics,Foreign (International) student,Not working,Offline (In-person),No,Flexibility in schedule,Quality of education,3,Technical difficulties,Sometimes,Satisfied,No,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Offline,Offline
Undergraduate,Male,Information & Technology,Foreign (International) student,Part-time,Offline (In-person),No,Cost,Convenience of location,4,Lack of interaction with peers,Sometimes,Satisfied,No,More engaging learning environment,Satisfied,Good,Agree,Offline,Offline
Undergraduate,Male,Science,Foreign (International) student,Not working,Offline (In-person),No,Avoiding travel/commute time,Convenience of location,3,Difficulty staying motivated,Sometimes,Neutral,No,More structured schedule,Very satisfied,Good,Neutral,Offline,Offline
Undergraduate,Male,Business,Foreign (International) student,Not working,Offline (In-person),Yes,Avoiding travel/commute time,Availability of courses,4,Lack of access to course materials,Sometimes,Satisfied,No,Doubt clarity,Satisfied,Excellent,Agree,Offline,Offline
Undergraduate,Male,Science,Foreign (International) student,Not working,Offline (In-person),No,Convenience of location,Quality of education,4,Technical difficulties,Rarely,Neutral,No,Doubt clarity,Satisfied,Good,Strongly agree,Offline,Offline
Undergraduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),Yes,Convenience of location,Quality of education,4,Poor internet connection,Sometimes,Satisfied,Yes,More engaging learning environment,Very satisfied,Excellent,Agree,Offline,Offline
Graduate,Male,Medical,Foreign (International) student,Part-time,Offline (In-person),Yes,Avoiding travel/commute time,Prefer in-person exams and assessments,4,Technical difficulties,Rarely,Very satisfied,No,Doubt clarity,Very satisfied,Excellent,Strongly agree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),Yes,Convenience of location,Convenience of location,4,Lack of interaction with peers,Sometimes,Very satisfied,No,Easier to focus,Very satisfied,Excellent,Strongly disagree,Offline,Offline
Undergraduate,Male,Business,Foreign (International) student,Not working,Online,Yes,Cost,Convenience of location,4,Poor internet connection,Sometimes,Satisfied,Yes,More engaging learning environment,Very satisfied,Excellent,Agree,Online,Online
Graduate,Male,Arts,Foreign (International) student,Part-time,Offline (In-person),No,Flexibility in schedule,Face-to-face interaction with instructors and peers,1,Lack of interaction with peers,Sometimes,Very satisfied,No,More engaging learning environment,Neutral,Excellent,Strongly agree,Offline,Offline
Undergraduate,Male,Business,Foreign (International) student,Not working,Offline (In-person),No,Avoiding travel/commute time,Availability of courses,4,Lack of access to course materials,Sometimes,Satisfied,No,Easier to focus,Neutral,Excellent,Strongly agree,Offline,Offline
Undergraduate,Male,Arts,Foreign (International) student,Part-time,Offline (In-person),Yes,Avoiding travel/commute time,Face-to-face interaction with instructors and peers,4,Technical difficulties,Sometimes,Very satisfied,No,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Offline,Offline
Undergraduate,Male,Business,Foreign (International) student,Part-time,Offline (In-person),No,Flexibility in schedule,Quality of education,4,Lack of access to course materials,Rarely,Unsatisfied,No,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Disagree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),No,Avoiding travel/commute time,Convenience of location,3,Poor internet connection,Sometimes,Satisfied,No,"Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Offline,Offline
Graduate,Male,Engineering,Foreign (International) student,Part-time,Offline (In-person),No,Avoiding travel/commute time,Convenience of location,4,Lack of interaction with peers,Sometimes,Satisfied,No,Doubt clarity,Satisfied,Good,Neutral,Offline,Offline
Undergraduate,Male,Economics,Foreign (International) student,Part-time,Offline (In-person),Yes,Flexibility in schedule,Quality of education,4,Lack of access to course materials,Sometimes,Unsatisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Unsatisfied,Poor,Disagree,Offline,Offline
Graduate,Male,Information & Technology,Foreign (International) student,Not working,Offline (In-person),No,Cost,Quality of education,4,Lack of interaction with peers,Sometimes,Satisfied,No,More engaging learning environment,Unsatisfied,Poor,Disagree,Offline,Offline
